Departamento, Incendios en areas nacionales ,Area nacional quemada (ha),Incendios en areas ejidales ,Area ejidal quemada (ha),Incendios en areas privadas,Area privada quemada (ha)
Atlantida,1,18.08,0,0,0,0
Choluteca,4,426.67,0,0,28,1996.66
Colon,0,0,0,0,1,12
Comayagua,4,22.1,16,153.47,41,832.38
Copan,0,0,4,21.5,33,313.82
Cortes,11,32.95,1,1,33,499.84
El Paraiso,18,1995.46,12,842.1,43,3505.53
Francisco Morazan,25,851.27,40,247.62,248,9557.76
Gracias a Dios,0,0,0,0,48,17726.7
Intibuca,0,0,3,6.5,39,790.72
Islas de la Bahia,0,0,0,0,0,0
La Paz,0,0,2,2,9,532
Lempira,3,551,1,4,30,940.07
Ocotepeque,0,0,2,214.5,20,687.98
Olancho,68,2072.01,36,1693.54,117,9525.46
Santa Barbara,9,142.4,0,0,27,216.05
Valle,0,0,0,0,3,533.61
Yoro,31,916.2,46,814.15,63,1983.9
